date,ship_1,type,nationality_1,ship_2,nationality_2,location,latitude,longitude,outcome,source,type,status,,victor
5/20/1800,Iphigenia,ship,USA,La Sophie,France,37o30N 21E,37.5,21,Sophie inspected papers and then let Iphigenia go,QW5:540,Boarded by French,MP,,French
5/22/1800,Flora,sloop,USA,L'Egypte Conquise,France,near the Virgin Guada,18.517172,-64.412456,Flora captured,QW5:550,Captured by French,MP,,French
4/30/1800,Columbia,brig,USA,L'Esperance,France,straits of Gibraltar,35.99,-5.422,Columbia captured,QW5:574,Captured by French,MP,,French
5/18/1800,Dublin Packet,ship,USA,L'Abeille,France,off Cape St Vincent,37.004384,-9.092463,Dublin Packet captured,QW5:574,Captured by French,MP,,French
5/18/1800,Friendship,brig,USA,L'Abeille,France,off Cape St Vincent,37.004384,-9.092463,Friendship captured,QW5:574,Captured by French,MP,,French
5/29/1800,Minerva,ship,USA,Les Deux Amis,France,32o32N 66W,32.533,-66,Minerva plundered and released,QW5:575,Boarded by French,MP,,French
6/2/1800,Experiment,armed schooner,USA,privateer,France,near Cape Nicola Mole,19.813308,-73.432023,privateer captured,QW6:4,Captured by Americans,MP,,American
6/2/1800,Lively,schooner,USA,Courageux,France,37N 67W,37,-67,Lively captured,QW6:5,Captured by French,MP,,French
6/3/1800,USS Augusta,brig,USA,La Victoire and La Jeanne,France,off Jacmel,18.065,-72.519,privateers captured,QW6:8,Captured by Americans,NP,,American
6/4/1800,William,brig,USA,privateer,France,under lee of Guadeloupe,15.952709,-61.504277,shots fired,QW6:14,Engagement but no capture,MP,,none
6/6/1800,Amazon,ship,USA,privateer,France,40N 25W,40,-25,Amazon captured,QW6:22,Captured by French,MP,,French
6/1/1800,USS Connecticut,ship,USA,Le Piege,France,off Descada,16.375623,-61.01454,Le Piege captured,QW6:28,Captured by Americans,NP,,American
6/5/1800,USS Connecticut,ship,USA,La Unite,France,near St. Kitts,17.493129,-62.716566,La Unite captured,QW6:29,Captured by Americans,NP,,American
6/13/1800,USS John Adams,ship,USA,La Decade,France,off Guadeloupe,16.506357,-61.16494,La Decade captured,QW6:45,Captured by Americans,NP,,American
6/17/1800,USS Enterprize,ship,USA,La Cygne,France,off Guadeloupe,16.5,-61.164,La Cygne captured,QW6:57,Captured by Americans,NP,,American
6/19/1800,USS Norfolk,ship,USA,privateer,France,18o48N; St. Martins SW 8 leagues,18.4058,-62.73,privateer sailed away after engagement,QW6:61,Engagement but no capture,NP,,none
11/17/1796,Despatch,brig,USA,privateer,France,near Port-au-Paix,19.989824,-72.84811,Despatch captured,ASP2:32,Captured by French,MP,,French
3/6/1796,Two Friends,schooner,USA,Voltigeur,France,"26N,58W",26,-58,Two Friends captured,ASP2:35,Captured by French,MP,,French
3/25/1797,Nancy,ship,USA,privateer,France,mouth of Port de Paix,19.966108,-72.842274,Nancy captured,ASP2:39,Captured by French,MP,,French
10/12/1799,Almy,brigantine,USA,2 privateers,France,off northeast end of Jamaica,18.717481,-75.803835,Almy captured,ASP2:39,Captured by French,MP,,French
3/5/1797,Lady Walterdorf,brig,USA,Poline,France,10 leagues NW of Martinique,15.22,-60.616,Lady Walterdorf captured,ASP2:39,Captured by French,MP,,French
1/16/797,Eliza,brig,USA,La Pancy and Thetis,France,"15o15N,59W",15.25,-59,Eliza captured  ,ASP2:40,Captured by French,MN,,French
12/28/1797,Pattern,ship,USA,Trompeuse,France,4 leagues north of Square Handkerchief,21.3138,-70.45,Pattern captured,ASP2:41,Captured by French,MP,,French
1/15/1797,Valeria,ship,USA,Souveraine,France,4-5 leagues from Cape Maize,20.413,-74.1,Valeria captured,ASP2:44,Captured by French,MP,,French
1/30/1797,Commerce,ship,USA,privateer,France,"18o2N,60o10W",18.33,-60.16,Commerce captured,ASP2:45,Captured by French,MP,,French
12/27/1796,Trio,brig,USA,Trompeuse,France,off Grand Turk,21.464888,-71.209672,Trio captured,ASP2:48,Captured by French,MP,,French
10/23/1796,Diana,ship,USA,Vengeur,France,"49o31N,9o30W",49.516,-9.5,Diana captured,ASP2:52,Captured by French,MP,,French
5/18/1797,Telemachus,brig,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Telemachus captured,QW1:34,Captured by French,MP,,French
5/18/1797,Pomona,ship,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Pomona captured,QW1:34,Captured by French,MP,,French
5/18/1797,Abigail,schooner,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Abigail captured,QW1:34,Captured by French,MP,,French
5/18/1797,Eliza,brig,USA,2 launches,France,within cannon-shot of Alicant,38.325662,-0.430295,Eliza captured,QW1:34,Captured by French,MP,,French
1/15/1797,Ann and Mary,ship,USa,Vulture,France,"49o25N,11W",49.4166,-11,Ann and Mary captured,QW1:34,Captured by French,MP,,French
4/14/1798,Commerce,brig,USA,Revenge,France,"36N,26W",36,-26,Commerce plundered,QW1:54,Plundered by French,MP,,French
7/5/1798,Eliza,ship,USA,L'Heureux Decide,France,"48.35N,13W",48.35,-13,Eliza captured,QW1:164,Captured by French,MP,,French
7/7/1798,USS Delaware,sloop,USA,Le Croyable,France,off Great Egg Harbour Bay,39.247643,-74.383778,Croyable captured,QW1:176,Captured by Americans,NP,,American
7/6/1798,Alexander Hamilton,ship,USA,Le Croyable,France,off Little Egg Harbour,39.58304,-74.184449,Alexander Hamilton plundered,QW1:178,Plundered by French,MP,,French
7/23/1798,Hetty Jane,ship,USA,privateer,France,500 miles from Charleston,27.901,-73.45,Hetty Jane captured,QW1:235,Captured by French,MP,,French
7/28/1798,Planter,brig,USA,privateer,France,Cape Antonio SE 4 or 5 leagues,22.136,-85.1,Planter captured,QW1:248,Captured by French,MP,Planter's crew able to retake ship,French
7/28/1798,Friendship,ship,USA,privateer,France,lat 29,29.075393,-75.436673,Friendship captured,QW1:251,Captured by French,MP,,French
9/9/1798,USS Constitution,frigate,USA,Niger,France,lat 34o11,34.180014,-71.877103,Niger captured,QW1:385,Captured by Americans,NP,,American
9/12/1798,Liberty,ship,USA,schooner,France,"13o3N,58W",13.05,-58,Liberty captured,QW1:399,Captured by French,MP,,French
10/10/1798,Two Friends,ship,USA,Good Fortune,France,"28N,28W",28,-28,Two Friends captured,QW1:570,Captured by French,MP,Two Friends' crew recaptured,French
11/20/1798,USS Baltimore,sloop,USA,privateer,France,off Havana,23.261529,-82.404379,privateer captured,QW2:21,Captured by Americans,NP,,American
11/30/1798,Polly,brig,USA,privateer,France,"20o20N,66o59W",20.333,-66.98,chase but no shots fired,QW2:23,Engagement but no capture,MP,,none
10/7/1798,Amphitrite,schooner,USA,Fleur de la Mer,France,Island de Aves,15.662832,-63.6,Amphitrite plundered,QW2:150,Plundered by French,MP,,French
